class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
left,0.615850865840912,0.28412339091301,-0.220832154154778,0.999944090843201,0.623597502708435,0.275328665971756,-0.200864598155022,0.999811947345734,0.625241816043854,0.278172224760056,-0.200924679636955,0.999801218509674,0.626753807067871,0.280955284833908,-0.20100311934948,0.999735176563263,0.616736233234406,0.264389902353287,-0.210042953491211,0.999855816364288,0.613795399665833,0.259644865989685,-0.209987491369247,0.99985271692276,0.610877275466919,0.255069851875305,-0.209996700286865,0.999856412410736,0.622613728046417,0.282837748527527,-0.0766028314828873,0.999605178833008,0.60171639919281,0.250960767269135,-0.12063430249691,0.999882936477661,0.61125659942627,0.300260096788406,-0.172593757510185,0.999928653240204,0.603516936302185,0.290052860975266,-0.185795605182648,0.999965310096741,0.616810023784638,0.362626910209656,-0.0253859404474497,0.999890923500061,0.538995563983917,0.29784682393074,-0.0213212333619595,0.99995744228363,0.617876052856445,0.454261690378189,-0.135911241173744,0.952816486358643,0.495755106210709,0.414264291524887,0.0204318556934595,0.981969714164734,0.632871150970459,0.353879243135452,-0.345849484205246,0.887324035167694,0.476962178945541,0.517747640609741,-0.0339614376425743,0.968567907810211,0.634488105773926,0.320679187774658,-0.393204599618912,0.81835412979126,0.468263566493988,0.549308836460114,-0.0488432198762894,0.938534021377564,0.632698118686676,0.311928123235703,-0.386627554893494,0.817851483821869,0.4746975004673,0.552005708217621,-0.0769475772976875,0.942244470119476,0.629338204860687,0.323985993862152,-0.349896967411041,0.789702475070953,0.479173004627228,0.545201182365418,-0.0449689403176308,0.932262897491455,0.557801067829132,0.575167536735535,-0.00602002162486315,0.999150514602661,0.504935443401337,0.555014252662659,0.00605591805651784,0.999211192131043,0.553205132484436,0.738959312438965,-0.0575914792716503,0.989200413227081,0.490603268146515,0.731790482997894,-0.00104136893060058,0.977696597576141,0.564963161945343,0.920805096626282,0.0739070326089859,0.977108299732208,0.497385412454605,0.900025367736816,0.161901280283928,0.961277306079865,0.54913204908371,0.952505469322205,0.0834168642759323,0.771962404251099,0.500297963619232,0.91938316822052,0.172833099961281,0.808715045452118,0.567038416862488,0.984121024608612,-0.0359720177948475,0.961643159389496,0.488515675067902,0.963262915611267,0.0585130341351032,0.942231059074402
left,0.62440550327301,0.284200042486191,-0.267054378986359,0.999919474124908,0.631024718284607,0.27669683098793,-0.248660564422607,0.999719679355621,0.632525324821472,0.279480338096619,-0.248720213770866,0.999705195426941,0.633878111839294,0.282149165868759,-0.248795345425606,0.999565958976746,0.624238193035126,0.265663594007492,-0.25777679681778,0.999797284603119,0.621050953865051,0.261052638292313,-0.257736504077911,0.999798595905304,0.617870092391968,0.256760567426682,-0.25777542591095,0.999794244766235,0.629350662231445,0.285997122526169,-0.128996148705482,0.999388694763184,0.607393860816956,0.254929214715958,-0.172060281038284,0.999895811080933,0.619344711303711,0.302803874015808,-0.22066242992878,0.999893665313721,0.610361695289612,0.291670769453049,-0.233596116304398,0.999965667724609,0.618179440498352,0.373617291450501,-0.0694060400128365,0.99980616569519,0.542591452598572,0.300564974546433,-0.0775243267416954,0.999967217445374,0.613011777400971,0.450704991817474,-0.158763825893402,0.944054543972015,0.497586101293564,0.413808405399323,-0.0285132173448801,0.984387993812561,0.632693350315094,0.375184804201126,-0.370237231254578,0.896341383457184,0.477073818445206,0.514286458492279,-0.0808055847883225,0.973214447498322,0.633718848228455,0.355308026075363,-0.415688842535019,0.817698478698731,0.467882335186005,0.54459947347641,-0.0969515964388847,0.94539201259613,0.632051825523377,0.315842509269714,-0.414270251989365,0.810131013393402,0.47460412979126,0.548301160335541,-0.123625658452511,0.948365926742554,0.632963716983795,0.351009339094162,-0.376103937625885,0.777785658836365,0.47914457321167,0.542801022529602,-0.0910080373287201,0.937308311462402,0.558874249458313,0.578340232372284,0.00317322788760066,0.998820722103119,0.502817094326019,0.558998465538025,-0.00317841907963157,0.998944938182831,0.556714177131653,0.747129738330841,-0.0525008328258991,0.982994973659515,0.487745523452759,0.74113541841507,-0.0149996625259519,0.97189199924469,0.563658058643341,0.922142446041107,0.128867834806442,0.948223829269409,0.497402966022491,0.906302452087402,0.166715055704117,0.935088217258453,0.563784956932068,0.938661515712738,0.140930265188217,0.737815499305725,0.502038717269898,0.922262132167816,0.178968697786331,0.741849005222321,0.575187027454376,0.979787290096283,0.0256362501531839,0.92119026184082,0.489324510097504,0.966915726661682,0.0618134327232838,0.893819868564606
left,0.624506652355194,0.284888476133347,-0.272337466478348,0.999910891056061,0.631130337715149,0.277549237012863,-0.254396349191666,0.999682068824768,0.632602572441101,0.280284970998764,-0.254447132349014,0.999669253826141,0.633934140205383,0.282901734113693,-0.25451186299324,0.999504148960114,0.624396860599518,0.266409456729889,-0.264733493328095,0.999775469303131,0.621202647686005,0.261669009923935,-0.264710128307343,0.999781489372253,0.618005454540253,0.257272362709045,-0.2647505402565,0.99977570772171,0.629404902458191,0.286415725946426,-0.135502591729164,0.999328911304474,0.607369303703308,0.25532865524292,-0.183778688311577,0.99988979101181,0.619369924068451,0.303192764520645,-0.225970238447189,0.999884247779846,0.610457301139832,0.292027145624161,-0.240388438105583,0.999963343143463,0.618197679519653,0.374262928962708,-0.0731929391622543,0.999794006347656,0.542471289634705,0.300743132829666,-0.0905409008264542,0.999967992305756,0.613373160362244,0.452304422855377,-0.141916006803513,0.941861510276794,0.497581630945206,0.4138562977314,-0.0398381724953651,0.984589874744415,0.628758072853088,0.385789752006531,-0.331293433904648,0.886317074298859,0.476979643106461,0.514309287071228,-0.0906792283058167,0.973537564277649,0.626457750797272,0.370198577642441,-0.369590103626251,0.803684413433075,0.467768520116806,0.544632792472839,-0.107604585587978,0.946029365062714,0.628903687000275,0.351378619670868,-0.372699111700058,0.795318722724915,0.474501043558121,0.548301339149475,-0.135626956820488,0.949000537395477,0.627346634864807,0.363464266061783,-0.33725580573082,0.762078166007996,0.479038625955582,0.542802810668945,-0.101440712809563,0.937881588935852,0.558887124061585,0.578619539737701,0.00274000992067158,0.99873948097229,0.502748370170593,0.559071958065033,-0.00274394452571869,0.998896539211273,0.556292414665222,0.747089326381683,-0.0517260953783989,0.983377754688263,0.486887127161026,0.741032063961029,-0.0136061338707805,0.972655713558197,0.562077105045319,0.924673795700073,0.126977100968361,0.949269831180573,0.49719563126564,0.906108856201172,0.167882472276688,0.936442971229553,0.563416838645935,0.938650846481323,0.138721600174904,0.73996365070343,0.502036809921265,0.922163367271423,0.180062860250473,0.745852828025818,0.573740243911743,0.980111002922058,0.0253664944320917,0.922070384025574,0.489317357540131,0.967053055763245,0.0626494809985161,0.895129442214966
left,0.624373376369476,0.285784065723419,-0.271531999111176,0.999891400337219,0.631106734275818,0.2783243060112,-0.254246324300766,0.999607920646668,0.632561564445496,0.280984848737717,-0.25430178642273,0.999586820602417,0.633881449699402,0.283528625965118,-0.254355579614639,0.999384462833405,0.624426901340485,0.267167717218399,-0.266774594783783,0.999733328819275,0.621256470680237,0.262293338775635,-0.266770124435425,0.99974250793457,0.618077874183655,0.257748693227768,-0.266824513673782,0.999739527702332,0.629333138465881,0.286654710769653,-0.137270241975784,0.999173641204834,0.607383489608765,0.255550354719162,-0.196299448609352,0.999865412712097,0.619189023971558,0.303686738014221,-0.225607663393021,0.999866425991058,0.610367655754089,0.292632669210434,-0.242857336997986,0.999958157539368,0.618142247200012,0.37495020031929,-0.0710093677043915,0.999780774116516,0.542421162128449,0.300918638706207,-0.108006343245506,0.999968349933624,0.609985888004303,0.456430047750473,-0.0993622615933418,0.932783305644989,0.497573375701904,0.414478838443756,-0.06794074177742,0.984847664833069,0.619183003902435,0.441917389631271,-0.27191624045372,0.865364670753479,0.476929128170013,0.514595091342926,-0.133368015289307,0.973712503910065,0.615979552268982,0.441240042448044,-0.310937166213989,0.780285775661469,0.467727810144424,0.544745564460754,-0.15628045797348,0.94659960269928,0.619183242321014,0.427100449800491,-0.322283625602722,0.772105574607849,0.474468231201172,0.548475682735443,-0.184375643730164,0.949565291404724,0.616703391075134,0.426507472991943,-0.281608402729034,0.738359272480011,0.478993237018585,0.54306960105896,-0.144756063818932,0.938372194766998,0.558854937553406,0.578824043273926,0.00424483139067888,0.998489320278168,0.502658486366272,0.559054493904114,-0.00423953076824546,0.998732626438141,0.555642426013947,0.747037053108215,-0.049746111035347,0.983712255954742,0.486106216907501,0.740986406803131,-0.0171125773340464,0.973343074321747,0.563900589942932,0.924493551254273,0.126281633973122,0.950483739376068,0.497004747390747,0.905746817588806,0.165519759058952,0.938061833381653,0.563248991966248,0.93829470872879,0.137660890817642,0.743197321891785,0.501840710639954,0.92169851064682,0.17723622918129,0.749630033969879,0.573098480701447,0.980486154556274,0.0250788424164057,0.923327088356018,0.489583790302277,0.967075705528259,0.0542584732174873,0.897045612335205
left,0.624451875686646,0.286231189966202,-0.272096008062363,0.999887228012085,0.631236910820007,0.278664886951447,-0.25422528386116,0.999587953090668,0.632682204246521,0.281303197145462,-0.254277050495148,0.99956613779068,0.633999288082123,0.283817797899246,-0.254336923360825,0.999350309371948,0.624563694000244,0.267423748970032,-0.266900032758713,0.999723970890045,0.621389269828796,0.262471437454224,-0.266884386539459,0.999735116958618,0.618199467658997,0.257850974798203,-0.266930878162384,0.999731540679932,0.629464745521545,0.286676913499832,-0.134854197502136,0.999139130115509,0.60745096206665,0.25553971529007,-0.193774729967117,0.999863028526306,0.619198679924011,0.303990721702576,-0.225386098027229,0.99986332654953,0.610435783863068,0.292896717786789,-0.242880254983902,0.999957859516144,0.61808717250824,0.37571918964386,-0.0676927417516708,0.999772608280182,0.542372345924377,0.300985246896744,-0.10484429448843,0.999969303607941,0.61001980304718,0.458642929792404,-0.105077609419823,0.929836094379425,0.497572898864746,0.414515227079392,-0.0624996051192284,0.985191524028778,0.620588660240173,0.420190930366516,-0.28194123506546,0.855492949485779,0.476918071508408,0.514631748199463,-0.12029554694891,0.973921418190002,0.618569314479828,0.409355342388153,-0.321527421474457,0.767116665840149,0.46772375702858,0.544766366481781,-0.140635162591934,0.946934223175049,0.620488166809082,0.396718055009842,-0.326719850301743,0.758491575717926,0.474467903375626,0.548521995544434,-0.168232172727585,0.949898600578308,0.618038654327393,0.400307506322861,-0.28952556848526,0.724005281925201,0.478991210460663,0.543168604373932,-0.131158262491226,0.938557267189026,0.558852016925812,0.579165160655975,0.00495185563340783,0.998417735099793,0.502531290054321,0.559532582759857,-0.00494616571813822,0.99868106842041,0.556644916534424,0.748614251613617,-0.0495666712522507,0.984286665916443,0.486192524433136,0.742353200912476,-0.0162216369062662,0.974159181118012,0.568708539009094,0.925202012062073,0.125761076807976,0.951919734477997,0.497004270553589,0.906257092952728,0.16706009209156,0.939659297466278,0.563742280006409,0.938571751117706,0.137068778276443,0.746757745742798,0.501869559288025,0.921713411808014,0.178931444883347,0.752654731273651,0.574878573417664,0.985012710094452,0.0224279500544071,0.924685895442963,0.49023848772049,0.967972040176392,0.0560492686927319,0.898606717586517
left,0.624504327774048,0.286378532648087,-0.274614751338959,0.999886751174927,0.631326019763947,0.278692334890366,-0.256267815828323,0.999583959579468,0.632791876792908,0.281339168548584,-0.256320267915726,0.99956488609314,0.634130656719208,0.283850401639938,-0.256390154361725,0.999344289302826,0.624603152275085,0.267395079135895,-0.267731457948685,0.999720931053162,0.621425569057465,0.262431710958481,-0.267700672149658,0.999733507633209,0.618234992027283,0.257803976535797,-0.267738312482834,0.9997279047966,0.629671454429627,0.286675214767456,-0.135250478982925,0.99913364648819,0.60747492313385,0.255510032176971,-0.188980385661125,0.999864280223846,0.619296967983246,0.304209649562836,-0.227407738566399,0.999863088130951,0.610476136207581,0.293093413114548,-0.243396565318108,0.999958217144013,0.618138134479523,0.375785827636719,-0.069912388920784,0.999768137931824,0.542349457740784,0.301090717315674,-0.0982725620269775,0.999970018863678,0.610544323921204,0.458976417779923,-0.142967343330383,0.929820418357849,0.49756184220314,0.414608597755432,-0.0523337498307228,0.985408186912537,0.622093677520752,0.407224535942078,-0.343336641788483,0.85390716791153,0.476905912160873,0.514648854732513,-0.103890560567379,0.973939478397369,0.618969082832336,0.388877183198929,-0.386966526508331,0.763779997825623,0.467707484960556,0.54478794336319,-0.122293315827847,0.946868240833283,0.623891651630402,0.353121221065521,-0.38512310385704,0.754584789276123,0.474459886550903,0.548536360263825,-0.149723127484322,0.949838042259216,0.620092332363129,0.382572799921036,-0.348931849002838,0.71906840801239,0.478982150554657,0.543184638023377,-0.114481821656227,0.938315808773041,0.558851897716522,0.579356133937836,0.00475251208990812,0.998416125774384,0.502447605133057,0.55985552072525,-0.00474615208804607,0.998675405979157,0.557101190090179,0.74904191493988,-0.0494451746344566,0.984794437885284,0.486496061086655,0.742909908294678,-0.0107526304200292,0.97494637966156,0.568423986434937,0.92512309551239,0.130639165639877,0.95325094461441,0.497061878442764,0.906175851821899,0.174930840730667,0.941010236740112,0.563786089420319,0.938573598861694,0.142810121178627,0.749871790409088,0.501867592334747,0.921697676181793,0.18748939037323,0.75409072637558,0.575180888175964,0.986248075962067,0.0241007152944803,0.926103413105011,0.490780591964722,0.968523859977722,0.0664343535900116,0.89984267950058
left,0.624599397182465,0.286598086357117,-0.281100511550903,0.999882519245148,0.631401121616364,0.27878612279892,-0.262679427862167,0.999568641185761,0.632870078086853,0.28144371509552,-0.262734055519104,0.999554634094238,0.634215891361237,0.283961713314056,-0.26281213760376,0.999326467514038,0.624688863754273,0.267447412014008,-0.272919803857803,0.999704420566559,0.621524691581726,0.262479305267334,-0.272878259420395,0.999718308448792,0.618350148200989,0.257848769426346,-0.272914350032806,0.999709367752075,0.629751086235046,0.286713778972626,-0.141146272420883,0.9991095662117,0.607578277587891,0.255568355321884,-0.189345493912697,0.999858617782593,0.619401037693024,0.304450690746307,-0.233755201101303,0.999859809875488,0.610571980476379,0.293333798646927,-0.248118549585342,0.999957263469696,0.618224322795868,0.375952839851379,-0.0765951126813889,0.999767601490021,0.542420506477356,0.301271289587021,-0.0959223955869675,0.999970138072968,0.609526455402374,0.459655940532684,-0.163662925362587,0.929216027259827,0.497555911540985,0.414756387472153,-0.0488622114062309,0.985462844371796,0.624895930290222,0.405754178762436,-0.376908212900162,0.854191422462463,0.476904451847076,0.514657616615295,-0.0988835170865059,0.973790347576141,0.62408173084259,0.382878333330154,-0.422403186559677,0.76372903585434,0.467701345682144,0.544815421104431,-0.116321548819542,0.946597278118134,0.626547455787659,0.34545773267746,-0.42052236199379,0.754146873950958,0.474456697702408,0.548552513122559,-0.143260508775711,0.949585318565369,0.624652028083801,0.378835141658783,-0.382820129394531,0.717471122741699,0.478981167078018,0.543194711208344,-0.109201990067959,0.937893211841583,0.558864831924439,0.579340875148773,0.00471667619422078,0.998419284820557,0.502365589141846,0.559840321540833,-0.00470854807645083,0.998668968677521,0.557699859142304,0.749080836772919,-0.050488393753767,0.985266268253326,0.48660546541214,0.742826700210571,-0.0105444248765707,0.975740075111389,0.570274770259857,0.923878729343414,0.134276539087296,0.954700529575348,0.497146666049957,0.905813574790955,0.177083253860474,0.942218005657196,0.564765334129334,0.936087310314179,0.147152215242386,0.75201827287674,0.50194239616394,0.92107617855072,0.18997223675251,0.754052877426148,0.575518012046814,0.987228333950043,0.0256775133311749,0.927573561668396,0.491091966629028,0.968483507633209,0.0685880929231644,0.900985717773438
left,0.625115513801575,0.286747515201569,-0.278971821069717,0.999882757663727,0.631708025932312,0.278917074203491,-0.260485589504242,0.999567449092865,0.633141815662384,0.281574606895447,-0.260535657405853,0.999557793140411,0.634458422660828,0.284081876277924,-0.260607987642288,0.999326527118683,0.625087380409241,0.26756227016449,-0.271008998155594,0.999699771404266,0.621929705142975,0.262586176395416,-0.270965278148651,0.999714434146881,0.618767976760864,0.257952392101288,-0.271001726388931,0.999701857566834,0.629795372486115,0.286712378263474,-0.139334157109261,0.999108016490936,0.607883930206299,0.255652248859406,-0.188630074262619,0.999858379364014,0.619759976863861,0.304600864648819,-0.231814309954643,0.999859929084778,0.611048758029938,0.293423801660538,-0.246570557355881,0.999957501888275,0.618264019489288,0.375879913568497,-0.0747802704572678,0.999768555164337,0.542524874210358,0.301471173763275,-0.0953942984342575,0.999970376491547,0.609253764152527,0.459441363811493,-0.163413152098656,0.927899539470673,0.497548878192902,0.414817303419113,-0.049222644418478,0.98549085855484,0.629263043403626,0.396278351545334,-0.377835899591446,0.854796528816223,0.476894795894623,0.51461273431778,-0.0965006500482559,0.973602831363678,0.627733111381531,0.356786847114563,-0.422764867544174,0.764264285564423,0.467645972967148,0.544808089733124,-0.11334915459156,0.946214079856873,0.629181027412415,0.339110612869263,-0.420538812875748,0.754325807094574,0.474426835775375,0.548531413078308,-0.140358716249466,0.949188411235809,0.625454485416412,0.357356011867523,-0.383650034666061,0.716783344745636,0.478958755731583,0.543169856071472,-0.106541536748409,0.937302708625794,0.559055209159851,0.579386532306671,0.00455497810617089,0.99843031167984,0.502364754676819,0.559831082820892,-0.00454860460013151,0.998672783374786,0.557960033416748,0.749178171157837,-0.0496134385466576,0.985693037509918,0.486894220113754,0.74206817150116,-0.0105999689549208,0.97655987739563,0.569712340831757,0.920613706111908,0.142621755599976,0.956024408340454,0.497260421514511,0.90520977973938,0.17959451675415,0.943692803382874,0.564925193786621,0.933934092521668,0.156052142381668,0.754831552505493,0.501953780651093,0.920276284217835,0.192860573530197,0.754757702350617,0.575463652610779,0.987195432186127,0.0351875610649586,0.928960502147675,0.491649299860001,0.968481361865997,0.0719834789633751,0.902625560760498
left,0.625354588031769,0.287004858255386,-0.275495231151581,0.999882936477661,0.631879568099976,0.279224842786789,-0.257064789533615,0.999565243721008,0.633305788040161,0.281886130571365,-0.257114768028259,0.999559283256531,0.634608685970306,0.284383624792099,-0.257182866334915,0.999326765537262,0.625261843204498,0.267866969108582,-0.267856121063232,0.999693930149078,0.622113585472107,0.262917637825012,-0.267821222543716,0.999709129333496,0.618962943553925,0.258316516876221,-0.267858266830444,0.999693214893341,0.629801750183106,0.286867916584015,-0.136814370751381,0.999107658863068,0.608123600482941,0.255928009748459,-0.187827572226524,0.99985671043396,0.619960904121399,0.304916054010391,-0.228496238589287,0.999860942363739,0.611311554908752,0.293596833944321,-0.24358868598938,0.999957919120789,0.618255257606506,0.376251637935638,-0.072956956923008,0.99977034330368,0.542546927928925,0.301570564508438,-0.0928183943033218,0.999970316886902,0.609302639961243,0.459488213062286,-0.154862821102142,0.928410768508911,0.497530698776245,0.414847522974014,-0.0460885539650917,0.985548853874207,0.631708025932312,0.389716476202011,-0.367967486381531,0.858992576599121,0.476864725351334,0.514568388462067,-0.0953980535268784,0.973796784877777,0.633028090000153,0.357054054737091,-0.413447439670563,0.769764065742493,0.467532485723496,0.544813513755798,-0.112775787711144,0.946559190750122,0.630674362182617,0.337881714105606,-0.412080109119415,0.759708523750305,0.474374204874039,0.548519194126129,-0.138806074857712,0.949505150318146,0.626151978969574,0.351339370012283,-0.374193251132965,0.721557557582855,0.478926241397858,0.543151319026947,-0.10526330769062,0.937504529953003,0.559091806411743,0.579642355442047,0.00443864520639181,0.998459815979004,0.502338945865631,0.559885144233704,-0.00443292036652565,0.998687028884888,0.558586001396179,0.750703096389771,-0.0526429712772369,0.986189961433411,0.487051784992218,0.742347061634064,-0.0123469764366746,0.977285146713257,0.570094883441925,0.920778036117554,0.142814934253693,0.957240879535675,0.497275829315186,0.905196309089661,0.178002551198006,0.945093393325806,0.564813256263733,0.934093117713928,0.156687289476395,0.757081627845764,0.501879036426544,0.920285522937775,0.191201537847519,0.756300151348114,0.575449049472809,0.987361371517181,0.0342486016452313,0.930279016494751,0.492024958133698,0.968829154968262,0.0690581649541855,0.904170155525208
left,0.625623762607575,0.287169188261032,-0.285904705524445,0.999884426593781,0.632041156291962,0.279335498809814,-0.267423570156097,0.999572277069092,0.633441388607025,0.281981348991394,-0.267478138208389,0.999569833278656,0.634725451469421,0.284461706876755,-0.267549097537994,0.999341368675232,0.625555396080017,0.268041223287582,-0.277648359537125,0.99969345331192,0.622447788715363,0.263103693723679,-0.277607500553131,0.999708414077759,0.619330406188965,0.25850173830986,-0.277638375759125,0.999689519405365,0.629822850227356,0.286881119012833,-0.14545089006424,0.999129354953766,0.608454585075378,0.256048887968063,-0.193460434675217,0.99985545873642,0.620131254196167,0.305094301700592,-0.238415032625198,0.999865114688873,0.611579775810242,0.293795555830002,-0.25275045633316,0.999958872795105,0.618255734443665,0.376701951026917,-0.0801436230540276,0.999779522418976,0.542544722557068,0.301744878292084,-0.0961337834596634,0.999970972537994,0.604676365852356,0.470997631549835,-0.163457706570625,0.928752422332764,0.49748769402504,0.415312916040421,-0.049307107925415,0.985784888267517,0.631259858608246,0.391351312398911,-0.388692408800125,0.862539172172546,0.476731956005096,0.51460862159729,-0.107294246554375,0.974218726158142,0.632838308811188,0.386113613843918,-0.436086803674698,0.775140643119812,0.467309713363647,0.544861495494843,-0.126326307654381,0.947441101074219,0.63116979598999,0.348879396915436,-0.437412440776825,0.765206515789032,0.474257618188858,0.548538029193878,-0.152584716677666,0.950355231761932,0.626823306083679,0.362043887376785,-0.39590972661972,0.72624546289444,0.478834211826324,0.543171525001526,-0.11763509362936,0.938358068466187,0.55912309885025,0.579687416553497,0.00436180923134089,0.998461782932282,0.502197265625,0.55991929769516,-0.0043559093028307,0.998682916164398,0.55910050868988,0.750882804393768,-0.0547019429504871,0.986711263656616,0.487120807170868,0.742462515830994,-0.0137993153184652,0.978187382221222,0.57052081823349,0.920569717884064,0.14131061732769,0.958944499492645,0.497280538082123,0.905170679092407,0.177154466509819,0.946870982646942,0.567331194877625,0.934124052524567,0.154860436916351,0.761144399642944,0.501778483390808,0.920281410217285,0.190167114138603,0.758371412754059,0.5754474401474,0.988105356693268,0.0316460318863392,0.932339072227478,0.492404848337173,0.969104111194611,0.0674449801445007,0.906500339508057
